date,home_team,score,away_team
30-07-2022,Corinthians,1 - 0,Botafogo FR
06-08-2022,Botafogo FR,1 - 1,Ceará SC
14-08-2022,Botafogo FR,0 - 0,AC Goianiense
21-08-2022,Juventude,2 - 2,Botafogo FR
28-08-2022,Botafogo FR,? - ?,Flamengo RJ
10-04-2022,Sao Paulo,4 - 0,CA Paranaense
17-04-2022,CA Paranaense,0 - 1,Atletico Mineiro
23-04-2022,CA Paranaense,1 - 0,Flamengo RJ
30-04-2022,America Mineiro,1 - 0,CA Paranaense
07-05-2022,CA Paranaense,1 - 0,Ceará SC
15-05-2022,Fluminense FC,2 - 1,CA Paranaense
22-05-2022,CA Paranaense,2 - 1,Avai
29-05-2022,Cuiaba,0 - 1,CA Paranaense
04-06-2022,CA Paranaense,2 - 2,Santos
08-06-2022,Juventude,1 - 3,CA Paranaense
12-06-2022,Fortaleza EC,0 - 0,CA Paranaense
16-06-2022,CA Paranaense,1 - 1,Corinthians
19-06-2022,Coritiba FBC,0 - 1,CA Paranaense
25-06-2022,CA Paranaense,4 - 2,RB Bragantino
03-07-2022,SE Palmeiras,0 - 2,CA Paranaense
09-07-2022,Goiás EC,2 - 1,CA Paranaense
16-07-2022,CA Paranaense,0 - 0,Internacional RS
20-07-2022,CA Paranaense,4 - 1,AC Goianiense
24-07-2022,Botafogo FR,2 - 0,CA Paranaense
31-07-2022,CA Paranaense,1 - 0,Sao Paulo
07-08-2022,Atletico Mineiro,2 - 3,CA Paranaense
14-08-2022,Flamengo RJ,5 - 0,CA Paranaense
21-08-2022,CA Paranaense,1 - 1,America Mineiro
27-08-2022,Ceará SC,? - ?,CA Paranaense
10-04-2022,SE Palmeiras,2 - 3,Ceará SC
17-04-2022,Ceará SC,1 - 3,Botafogo FR
30-04-2022,Ceará SC,0 - 1,RB Bragantino
07-05-2022,CA Paranaense,1 - 0,Ceará SC
14-05-2022,Ceará SC,2 - 2,Flamengo RJ
21-05-2022,Santos,0 - 0,Ceará SC
28-05-2022,Sao Paulo,2 - 2,Ceará SC
01-06-2022,Fortaleza EC,0 - 1,Ceará SC
04-06-2022,Ceará SC,1 - 1,Coritiba FBC
08-06-2022,America Mineiro,0 - 2,Ceará SC
12-06-2022,Goiás EC,1 - 1,Ceará SC
15-06-2022,Ceará SC,0 - 0,Atletico Mineiro
18-06-2022,Cuiaba,0 - 0,Ceará SC
26-06-2022,Ceará SC,1 - 1,AC Goianiense
02-07-2022,Ceará SC,1 - 1,Internacional RS
09-07-2022,Fluminense FC,2 - 1,Ceará SC
17-07-2022,Ceará SC,3 - 1,Corinthians
20-07-2022,Ceará SC,1 - 0,Avai
24-07-2022,Juventude,1 - 0,Ceará SC
30-07-2022,Ceará SC,1 - 2,SE Palmeiras
06-08-2022,Botafogo FR,1 - 1,Ceará SC
14-08-2022,Ceará SC,0 - 1,Fortaleza EC
21-08-2022,RB Bragantino,1 - 1,Ceará SC
27-08-2022,Ceará SC,? - ?,CA Paranaense
10-04-2022,Botafogo FR,1 - 3,Corinthians
16-04-2022,Corinthians,3 - 0,Avai
23-04-2022,SE Palmeiras,3 - 0,Corinthians
01-05-2022,Corinthians,1 - 0,Fortaleza EC
08-05-2022,RB Bragantino,0 - 1,Corinthians
14-05-2022,Internacional RS,2 - 2,Corinthians
22-05-2022,Corinthians,1 - 1,Sao Paulo
29-05-2022,Corinthians,1 - 1,America Mineiro
04-06-2022,AC Goianiense,0 - 1,Corinthians
08-06-2022,Cuiaba,1 - 0,Corinthians
11-06-2022,Corinthians,2 - 0,Juventude
16-06-2022,CA Paranaense,1 - 1,Corinthians
19-06-2022,Corinthians,1 - 0,Goiás EC
25-06-2022,Corinthians,0 - 0,Santos
02-07-2022,Fluminense FC,4 - 0,Corinthians
10-07-2022,Corinthians,1 - 0,Flamengo RJ
17-07-2022,Ceará SC,3 - 1,Corinthians
21-07-2022,Corinthians,3 - 1,Coritiba FBC
24-07-2022,Atletico Mineiro,1 - 2,Corinthians
30-07-2022,Corinthians,1 - 0,Botafogo FR
06-08-2022,Avai,1 - 1,Corinthians
13-08-2022,Corinthians,0 - 1,SE Palmeiras
21-08-2022,Fortaleza EC,1 - 0,Corinthians
27-08-2022,Corinthians,? - ?,RB Bragantino
10-04-2022,Coritiba FBC,3 - 0,Goiás EC
17-04-2022,Santos,2 - 1,Coritiba FBC
24-04-2022,Atletico Mineiro,2 - 2,Coritiba FBC
01-05-2022,Coritiba FBC,3 - 2,Fluminense FC
09-05-2022,Avai,2 - 1,Coritiba FBC
15-05-2022,Coritiba FBC,1 - 0,America Mineiro
21-05-2022,AC Goianiense,2 - 0,Coritiba FBC
29-05-2022,Coritiba FBC,1 - 0,Botafogo FR
04-06-2022,Ceará SC,1 - 1,Coritiba FBC
09-06-2022,Coritiba FBC,1 - 1,Sao Paulo
12-06-2022,Coritiba FBC,0 - 2,SE Palmeiras
15-06-2022,RB Bragantino,4 - 2,Coritiba FBC
19-06-2022,Coritiba FBC,0 - 1,CA Paranaense
25-06-2022,Internacional RS,3 - 0,Coritiba FBC
03-07-2022,Coritiba FBC,2 - 1,Fortaleza EC
10-07-2022,Coritiba FBC,2 - 2,Juventude
16-07-2022,Flamengo RJ,2 - 0,Coritiba FBC
21-07-2022,Corinthians,3 - 1,Coritiba FBC
25-07-2022,Coritiba FBC,1 - 0,Cuiaba
30-07-2022,Goiás EC,1 - 0,Coritiba FBC
08-08-2022,Coritiba FBC,1 - 2,Santos
14-08-2022,Coritiba FBC,0 - 1,Atletico Mineiro
20-08-2022,Fluminense FC,5 - 2,Coritiba FBC
10-04-2022,Fortaleza EC,0 - 1,Cuiaba
17-04-2022,Cuiaba,0 - 1,Fluminense FC
24-04-2022,Juventude,0 - 1,Cuiaba
30-04-2022,Cuiaba,1 - 1,AC Goianiense
08-05-2022,Santos,4 - 1,Cuiaba
15-05-2022,Sao Paulo,2 - 1,Cuiaba
22-05-2022,Cuiaba,1 - 1,Internacional RS
29-05-2022,Cuiaba,0 - 1,CA Paranaense
04-06-2022,America Mineiro,2 - 1,Cuiaba
08-06-2022,Cuiaba,1 - 0,Corinthians
11-06-2022,Cuiaba,1 - 1,RB Bragantino
